Province_State,start,end
Alabama,987,81115
Alaska,119,2623
Arizona,1289,163827
Arkansas,523,39447
California,8233,458121
Colorado,2966,44547
Connecticut,3128,48983
Delaware,319,14406
Diamond Princess,49,49
District of Columbia,495,11780
Florida,6741,432747
Georgia,3929,170843
Grand Princess,103,103
Hawaii,204,1711
Idaho,515,18692
Illinois,5994,173894
Indiana,2158,62907
Iowa,497,42696
Kansas,434,25804
Kentucky,628,27586
Louisiana,5237,109917
Maine,303,3832
Maryland,1660,84876
Massachusetts,6620,115926
Michigan,7951,87173
Minnesota,629,51803
Mississippi,937,52781
Missouri,1550,43489
Montana,198,3380
Nebraska,172,24899
Nevada,1114,43831
New Hampshire,357,6441
New Jersey,18696,179812
New Mexico,315,19502
New York,75833,412344
North Carolina,1535,114916
North Dakota,122,5986
Ohio,2199,85177
Oklahoma,568,32685
Oregon,690,17088
Pennsylvania,4963,112995
Rhode Island,488,18515
South Carolina,1083,82417
South Dakota,108,8444
Tennessee,2391,96489
Texas,3809,400336
Utah,888,38409
Vermont,293,1402
Virginia,1249,86072
Washington,5432,53321
West Virginia,162,5999
Wisconsin,1412,49417
Wyoming,109,2520
